timestamp,placa,confiabilidade,ID
2024-03-19 16:37:09,GDH4G78,0.845187,saida
2024-03-03 17:59:49,AYB6C21,0.797943,saida
2024-02-19 18:04:54,EVC0H84,0.800746,saida
2024-03-14 17:29:58,FSN2E67,0.769374,saida
2024-02-20 17:40:19,RHM8J55,0.820596,saida
2024-02-27 17:22:08,FRJ4229,0.761781,saida
2024-03-19 16:37:09,GDH4G78,0.841225,saida
2024-02-18 14:02:32,SCJ3B54,0.800052,saida
2024-02-21 18:05:25,DCV3758,0.730600,saida
2024-03-01 07:01:15,SA0PEDRO,0.770076,saida
2024-03-10 18:09:03,EVC2E49,0.805155,saida
2024-02-27 17:09:43,FHY2770,0.774832,saida
2024-02-19 08:03:13,ENC0B99,0.797153,saida
2024-03-13 17:36:07,FWX7E44,0.828865,saida
2024-02-26 04:48:13,SCJ3B54,0.820270,saida
2024-03-04 17:14:47,RNX8G39,0.814132,saida
2024-02-28 13:00:52,BIY8787,0.790327,saida
2024-02-15 06:58:57,FOG6I15,0.701787,saida
2024-03-12 14:25:28,FJB5F74,0.787762,saida
2024-03-12 15:44:06,PXU7819,0.758498,saida
2024-03-05 08:31:55,FZO2303,0.731514,saida
2024-03-15 15:21:12,GAG6479,0.750239,saida
2024-03-06 21:50:36,CSK7E96,0.772206,saida
2024-02-16 06:09:17,FEH7J42,0.760902,saida
2024-02-23 11:36:03,ENZ2C39,0.770377,saida
2024-03-15 17:29:52,EDA8668,0.719348,saida
2024-03-13 15:28:57,SDZ2A83,0.859557,saida
2024-02-19 17:03:59,CHD7A80,0.813456,saida
2024-03-02 17:49:41,ZD3334,0.752689,saida
2024-02-22 17:38:20,FGE2H34,0.805569,saida
2024-02-23 17:20:11,RME3G02,0.774298,saida
2024-02-21 18:06:40,EMA5B87,0.819905,saida
2024-02-28 06:31:39,FWU7A25,0.769634,saida
2024-03-15 17:19:17,GDG2968,0.743038,saida
2024-03-11 17:31:57,RNS0C36,0.818160,saida
2024-02-19 18:07:07,QCD2I84,0.741955,saida
2024-02-29 04:43:40,SCJ3B54,0.831131,saida
2024-03-13 18:13:45,RBM5E66,0.815270,saida
2024-03-05 08:32:07,FZO2303,0.763970,saida
2024-02-16 13:49:12,FRF6D35,0.833661,saida
2024-03-19 12:47:34,FGE2H34,0.814453,saida
2024-02-20 14:42:28,FQY1I14,0.803825,saida
2024-02-21 18:18:24,FZG5C74,0.793020,saida
2024-02-21 18:08:11,FVS4023,0.734308,saida
2024-02-19 07:00:13,EYN2B63,0.755973,saida
2024-02-21 18:22:38,EDP2G09,0.818144,saida
2024-02-20 15:35:13,FKK5F04,0.848940,saida
2024-03-18 06:27:14,RVG6I25,0.774440,saida
2024-02-14 13:34:55,AES0767,0.754859,saida
2024-02-21 12:47:55,NWE6734,0.777264,saida
2024-03-04 13:00:10,EPU9E72,0.759942,saida
2024-03-05 09:08:58,GBI2E67,0.728626,saida
2024-02-29 16:43:38,FSS9217,0.707463,saida
2024-02-27 18:11:19,FPX9D89,0.805921,saida
2024-02-27 04:53:46,GBL1F45,0.724733,saida
2024-03-04 16:38:11,FQH7F74,0.733541,saida
2024-03-15 13:29:30,EMB9799,0.751670,saida
2024-03-13 21:32:34,FVW2835,0.787566,saida
2024-02-21 16:07:02,AOH4H64,0.831442,saida
2024-03-07 22:46:20,SHB5G08,0.701374,saida
2024-03-07 12:46:18,QPU9A06,0.778319,saida
2024-03-07 06:13:17,FYZ2B73,0.738072,saida
2024-02-16 14:57:30,GFU9C67,0.749941,saida
2024-03-16 09:21:24,FRM4413,0.774467,saida
2024-03-14 06:26:37,FQI2459,0.744368,saida
2024-02-18 14:03:10,SCJ3B54,0.787708,saida
2024-02-20 18:24:44,GFF8D41,0.820705,saida
2024-03-19 15:30:13,CWZ3706,0.758426,saida
2024-02-16 14:53:49,ETD2569,0.780460,saida
2024-02-27 17:01:56,AQB9C63,0.812334,saida
2024-03-12 13:19:58,DVC5427,0.701561,saida
2024-03-06 18:21:20,FMU4A15,0.819559,saida
2024-02-28 18:04:40,FPA4809,0.712698,saida
2024-02-20 14:14:43,ETE5C65,0.837333,saida
2024-02-18 14:04:39,SCJ3B54,0.800477,saida
2024-03-06 15:06:43,OWV2G13,0.839567,saida
2024-02-28 06:23:27,FGL4949,0.758121,saida
2024-02-23 15:59:14,EYN2B63,0.797144,saida
2024-02-16 17:14:24,FET0E67,0.816139,saida
2024-02-22 09:46:35,CUA6258,0.730040,saida
2024-03-18 07:06:10,SWW2D78,0.831255,saida
2024-03-08 15:42:13,FZO2303,0.765768,saida
2024-02-16 06:56:12,FTQ7J44,0.817544,saida
2024-03-09 04:49:53,GCP9A62,0.710728,saida
2024-03-10 17:56:59,FT2J19,0.750786,saida
2024-02-16 17:42:32,QNW5341,0.759523,saida
2024-03-05 12:11:14,GDB3H16,0.733610,saida
2024-03-05 20:55:01,FSC8C18,0.792465,saida
2024-03-06 18:15:56,ERF2C39,0.749480,saida
2024-02-14 16:29:34,GIW5A06,0.767045,saida
2024-02-19 07:45:49,GDT4F20,0.796139,saida
